sku,title,image1,image2,image3,image4,image5,image6,image7,image8,image9
PT0001-000080GB,80 Gram | Black Pepper Powder | Glass Bottle | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0001-000100BP,100 Gram | Black Pepper Powder | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000100BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000100BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000100BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000100BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000100BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000100BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000100BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000100BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0001-000200GB,200 Gram | Black Pepper Powder | Glass Bottle | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000200GB.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000200GB.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000200GB.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000200GB.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000200GB.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000200GB.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000200GB.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000200GB.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0001-000250BP,250 Gram | Black Pepper Powder | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000250BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000250BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000250BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000250BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000250BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000250BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000250BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000250BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0002-000040GB-1A1,40 Gram | Elaichi | Glass Bottle | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000040GB.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000040GB.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000040GB.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000040GB.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000040GB.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000040GB.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000040GB.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000040GB.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0002-000050BP,50 Gram | Elaichi | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000050BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000050BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000050BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000050BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000050BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000050BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000050BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000050BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0002-000100BP,100 Gram | Elaichi | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0002-000100GB,100 Gram | Elaichi | Glass Bottle | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100GB.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100GB.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100GB.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100GB.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100GB.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100GB.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100GB.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0002-000100GB.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0003-000060GB,60 Gram | Dalchini Powder | Glass Bottle | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000060GB.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000060GB.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000060GB.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000060GB.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000060GB.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000060GB.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000060GB.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000060GB.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0003-000100BP,100 Gram | Dalchini Powder | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000100BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000100BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000100BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000100BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000100BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000100BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000100BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000100BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0003-000150GB,150 Gram | Dalchini Powder | Glass Bottle | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000150GB.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000150GB.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000150GB.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000150GB.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000150GB.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000150GB.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000150GB.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000150GB.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
